complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,Categorized as Pothole based on 'Large pothole 60cm wide causing tyre damage'.,
PM-202402,Pothole,Urgent,Urgent priority triggered by severity signal 'School'; categorized as Pothole based on 'Deep pothole near bus stop'.,
PM-202406,Flooding,Standard,Categorized as Flooding based on 'Underpass flooded knee-deep after 2hrs rain'.,
PM-202408,Drain Blockage,Standard,Categorized as Drain Blockage based on 'Drain blocked'.,
PM-202410,Streetlight,Standard,Categorized as Streetlight based on 'Three consecutive streetlights out for 10 days'.,
PM-202411,Streetlight,Urgent,Urgent priority triggered by severity signal 'hazard'; categorized as Streetlight based on 'Streetlight flickering and sparking'.,
PM-202413,Waste,Standard,Categorized as Waste based on 'Overflowing garbage bins near vegetable market'.,
PM-202418,Noise,Standard,Categorized as Noise based on 'Wedding venue playing music past midnight on weeknights'.,
PM-202419,Road Damage,Standard,Categorized as Road Damage based on 'Road surface cracked and sinking near utility work done 1 month ago'.,
PM-202420,Drain Blockage,Urgent,Urgent priority triggered by severity signal 'injury'; categorized as Drain Blockage based on 'Manhole cover missing'.,
PM-202427,Flooding,Standard,Categorized as Flooding based on 'Bridge approach floods in 30mins of rain'.,
PM-202428,Waste,Standard,Categorized as Waste based on 'Dead animal not removed for 36 hours'.,
PM-202430,Streetlight,Standard,"Categorized as Streetlight based on 'Heritage street, lights out'.",
PM-202433,Waste,Standard,Categorized as Waste based on 'Bulk waste from apartment renovation dumped on public road'.,
PM-202446,Road Damage,Urgent,Urgent priority triggered by severity signal 'fell'; categorized as Road Damage based on 'Footpath tiles broken and upturned'.,
