complaint_id,category,priority,reason,flag
AM-202401,Heat Hazard,Standard,Categorized as Heat Hazard based on 'Tarmac surface melting at 44°C'.,
AM-202402,Heat Hazard,Standard,Categorized as Heat Hazard based on 'Metal bus shelter reaching dangerous temperatures'.,
AM-202405,Other,Standard,Categorized as Other based on 'Dead trees with split branches. Fall risk to walkers. 3 tree'.,NEEDS_REVIEW
AM-202406,Heat Hazard,Standard,Categorized as Heat Hazard based on 'Grass dying in heatwave conditions'.,
AM-202407,Road Damage,Urgent,Urgent priority triggered by severity signal 'Child'; categorized as Road Damage based on 'Broken bench and upturned paving'.,
AM-202410,Pothole,Standard,Categorized as Pothole based on 'Pothole on main highway causing morning rush lane closure'.,
AM-202414,Streetlight,Standard,Categorized as Streetlight based on 'Residential colony unlit after 9pm'.,
AM-202417,Waste,Standard,Categorized as Waste based on 'Night market waste not cleared before morning'.,
AM-202421,Noise,Standard,Categorized as Noise based on 'Club music audible at residential buildings at 2am'.,
AM-202424,Heat Hazard,Standard,Categorized as Heat Hazard based on 'Zoo approach road surface bubbling at 45°C'.,
AM-202429,Heat Hazard,Standard,Categorized as Heat Hazard based on 'River walk surface temperature unbearable'.,
AM-202431,Heritage Damage,Standard,Categorized as Heritage Damage based on 'Old city road subsidence near ancient step well'.,
AM-202435,Heat Hazard,Standard,Categorized as Heat Hazard based on 'Black metal road dividers storing heat'.,
AM-202444,Waste,Standard,Categorized as Waste based on 'Restaurant waste bins overflowing on Sunday night'.,
AM-202445,Heat Hazard,Standard,Categorized as Heat Hazard based on 'Users exposed to full sun'.,
