complaint_id,category,priority,reason,flag
KM-202401,Heritage Damage,Standard,Categorized as Heritage Damage based on 'Heritage lamp post knocked over by delivery vehicle'.,
KM-202402,Heritage Damage,Standard,Categorized as Heritage Damage based on 'Historic tram road cobblestones broken up by cable laying work'.,
KM-202405,Noise,Standard,Categorized as Noise based on 'Wedding band playing near Tagore Museum at 11pm'.,
KM-202409,Pothole,Standard,Categorized as Pothole based on 'Airport access road full of potholes'.,
KM-202410,Pothole,Standard,Categorized as Pothole based on 'Pothole causing tyre blowouts'.,
KM-202411,Pothole,Standard,Categorized as Pothole based on 'Deep pothole filling with rainwater'.,
KM-202415,Drain Blockage,Standard,Categorized as Drain Blockage based on 'New residential complex draining directly onto public road'.,
KM-202418,Waste,Standard,Categorized as Waste based on 'Tourist zone waste overflowing'.,
KM-202421,Road Damage,Urgent,Urgent priority triggered by severity signal 'fell'; categorized as Road Damage based on 'Footpath broken and sinking'.,
KM-202422,Road Damage,Standard,Categorized as Road Damage based on 'Road surface buckled near bridge'.,
KM-202426,Heritage Damage,Standard,Categorized as Heritage Damage based on 'Heritage residential building exterior defaced by billboard installation'.,
KM-202430,Road Damage,Standard,Categorized as Road Damage based on 'Road subsided near gas pipeline'.,
KM-202434,Heritage Damage,Standard,Categorized as Heritage Damage based on 'Street paving removed for utility work — heritage stone not replaced'.,
KM-202436,Streetlight,Standard,Categorized as Streetlight based on 'Entire colony substation tripped'.,
KM-202438,Noise,Standard,Categorized as Noise based on 'Street vendors using amplifiers illegally in heritage precinct'.,
