complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,Urgent priority triggered by severity signal 'Ambulance'; categorized as Flooding based on 'Underpass flooded after 1hr rain'.,
GH-202402,Drain Blockage,Standard,Categorized as Drain Blockage based on 'Drain completely blocked'.,
GH-202406,Drain Blockage,Standard,Categorized as Drain Blockage based on 'Main stormwater drain 100% blocked with construction debris'.,
GH-202407,Drain Blockage,Standard,Categorized as Drain Blockage based on 'Drain blocked and mosquito breeding'.,
GH-202410,Pothole,Standard,Categorized as Pothole based on 'Potholes causing vehicles to slow to 20kmph on fast road'.,
GH-202411,Pothole,Urgent,Urgent priority triggered by severity signal 'hospitalised'; categorized as Pothole based on 'Pothole swallowed entire motorcycle wheel'.,
GH-202412,Pothole,Urgent,Urgent priority triggered by severity signal 'School'; categorized as Pothole based on 'School bus struggling to navigate 6 potholes in 200m stretch'.,
GH-202417,Waste,Standard,Categorized as Waste based on 'Heritage zone garbage overflow'.,
GH-202420,Noise,Standard,Categorized as Noise based on 'Construction drilling from 5am daily near residential towers'.,
GH-202422,Road Damage,Urgent,Urgent priority triggered by severity signal 'collapsed'; categorized as Road Damage based on 'Road collapsed partially'.,
GH-202424,Flooding,Standard,Categorized as Flooding based on 'Underpass floods in light rain'.,
GH-202428,Waste,Standard,Categorized as Waste based on 'Post-market waste not cleared'.,
GH-202432,Noise,Standard,Categorized as Noise based on '24hr supermarket delivery trucks idling with engines on'.,
GH-202448,Drain Blockage,Standard,Categorized as Drain Blockage based on 'Main drain blocked — entire locality at flooding risk this week'.,
GH-202438,Flooding,Standard,Categorized as Flooding based on 'Colony surrounded by fields that channel rainwater through main road'.,
